Key,english,japanese
foodOhitasi,"Ohitashi","おひたし"
foodOhitasiDesc,"Ohitashi","本当に必要だったのか。渾身のおひたし。"
foodButajiru,"butajiru","ぶたじる"
foodButajiruDesc,"butajiru","あったかくてうまい。"
foodPearsCake,"PearsTart","梨のタルト"
foodPearsCakeDesc,"PearsTart","缶詰の梨を使わなかったら、もっとシャキシャキに作れただろう。"
SuperLuckyGlass,"SuperLuckyGlass","スーパー・ラッキーめがね"
SuperLuckyGlassDesc,"SuperLuckyGlass","このめがねをかけている限り、わらしべ長者を夢見る必要はない。"
VehTurboUpgrade,"VehTurboUpgrade","お試し版ターボ"
vehicleHeadlightsUpgrade,"vehicleHeadlightsUpgrade","お試し版ライト"
HDFuelSaverUpgrade,"HDFuelSaverUpgrade","HDFuelSaverUpgrade"
qc_fetch3,"qc_fetch3","ティア3 回収"
qc_tier3_offer,"qc_tier3_offer","部下が補給品を隠しやがった。ホワイトリバーへ届けてもらえるとありがたい。"
